_id,type,slug,name
a0,vmsize,a0,A0
a1,vmsize,a1,A1
a2,vmsize,a2,A2
a3,vmsize,a3,A3
a4,vmsize,a4,A4
a5,vmsize,a5,A5
a6,vmsize,a6,A6
a7,vmsize,a7,A7
a8,vmsize,a8,A8
a9,vmsize,a9,A9
a10,vmsize,a10,A10
a11,vmsize,a11,A11
b1s,vmsize,b1s,B1S
b2s,vmsize,b2s,B2S
b1ls,vmsize,b1ls,B1LS
b1ms,vmsize,b1ms,B1MS
b2ms,vmsize,b2ms,B2MS
b4ms,vmsize,b4ms,B4MS
b8ms,vmsize,b8ms,B8MS
b12ms,vmsize,b12ms,B12MS
b16ms,vmsize,b16ms,B16MS
b20ms,vmsize,b20ms,B20MS
a1v2,vmsize,a1v2,A1 v2
a2v2,vmsize,a2v2,A2 v2
a4v2,vmsize,a4v2,A4 v2
a8v2,vmsize,a8v2,A8 v2
a2mv2,vmsize,a2mv2,A2m v2
a4mv2,vmsize,a4mv2,A4m v2
a8mv2,vmsize,a8mv2,A8m v2
d1,vmsize,d1,D1
d2,vmsize,d2,D2
d3,vmsize,d3,D3
d4,vmsize,d4,D4
d11,vmsize,d11,D11
d12,vmsize,d12,D12
d13,vmsize,d13,D13
d14,vmsize,d14,D14
d2av4,vmsize,d2av4,D2a v4
d4av4,vmsize,d4av4,D4a v4
d8av4,vmsize,d8av4,D8a v4
d16av4,vmsize,d16av4,D16a v4
d32av4,vmsize,d32av4,D32a v4
d48av4,vmsize,d48av4,D48a v4
d64av4,vmsize,d64av4,D64a v4
d96av4,vmsize,d96av4,D96a v4
d2asv4,vmsize,d2asv4,D2as v4
d4asv4,vmsize,d4asv4,D4as v4
d8asv4,vmsize,d8asv4,D8as v4
d16asv4,vmsize,d16asv4,D16as v4
d32asv4,vmsize,d32asv4,D32as v4
d48asv4,vmsize,d48asv4,D48as v4
d64asv4,vmsize,d64asv4,D64as v4
d96asv4,vmsize,d96asv4,D96as v4
dc2s,vmsize,dc2s,DC2s
dc4s,vmsize,dc4s,DC4s
dc1sv2,vmsize,dc1sv2,DC1s v2
dc2sv2,vmsize,dc2sv2,DC2s v2
dc4sv2,vmsize,dc4sv2,DC4s v2
dc8sv2,vmsize,dc8sv2,DC8s v2
d1s,vmsize,d1s,D1s
d2s,vmsize,d2s,D2s
d3s,vmsize,d3s,D3s
d4s,vmsize,d4s,D4s
d11s,vmsize,d11s,D11s
d12s,vmsize,d12s,D12s
d13s,vmsize,d13s,D13s
d14s,vmsize,d14s,D14s
d1v2,vmsize,d1v2,D1 v2
d2v2,vmsize,d2v2,D2 v2
d3v2,vmsize,d3v2,D3 v2
d4v2,vmsize,d4v2,D4 v2
d5v2,vmsize,d5v2,D5 v2
d11v2,vmsize,d11v2,D11 v2
d12v2,vmsize,d12v2,D12 v2
d13v2,vmsize,d13v2,D13 v2
d14v2,vmsize,d14v2,D14 v2
d15v2,vmsize,d15v2,D15 v2
d15iv2,vmsize,d15iv2,D15i v2
ds1v2,vmsize,ds1v2,DS1 v2
ds2v2,vmsize,ds2v2,DS2 v2
ds3v2,vmsize,ds3v2,DS3 v2
ds4v2,vmsize,ds4v2,DS4 v2
ds5v2,vmsize,ds5v2,DS5 v2
ds11-1-v2,vmsize,ds11-1-v2,DS11-1 v2
ds11v2,vmsize,ds11v2,DS11 v2
ds12-1-v2,vmsize,ds12-1-v2,DS12-1 v2
ds12-2-v2,vmsize,ds12-2-v2,DS12-2 v2
ds12v2,vmsize,ds12v2,DS12 v2
ds13-2-v2,vmsize,ds13-2-v2,DS13-2 v2
ds13-4-v2,vmsize,ds13-4-v2,DS13-4 v2
ds13v2,vmsize,ds13v2,DS13 v2
ds14-4-v2,vmsize,ds14-4-v2,DS14-4 v2
ds14-8-v2,vmsize,ds14-8-v2,DS14-8 v2
ds14v2,vmsize,ds14v2,DS14 v2
ds15v2,vmsize,ds15v2,DS15 v2
ds15iv2,vmsize,ds15iv2,DS15i v2
